country,total_plastic,total_volunteers,avg_aqi
Philippines,58094,2767429,41
Nigeria,21834,698967,71
Kenya,14522,184128,24
India,14478,140354,155
Indonesia,12843,4457364,26
Vietnam,9007,273802,97
Cameroon,8253,58050,5
Burkina Faso,7583,8229,73
Ukraine,7383,126042,44
China,5791,1363419,163
Ghana,5169,37140,13
Netherlands,5140,86053,99
Benin,5066,2786,12
Montenegro,5045,14979,200
Tanzania,4308,66184,9
Bhutan,3500,21200,68
Hong Kong,3062,37252,16
Brazil,2867,56868,25
Switzerland,2738,136647,90
Malaysia,2568,93850,30
Bangladesh,2358,20307,38
Sri Lanka,2154,4624,13
Thailand,1842,68951,31
Colombia,1522,11555,8
Argentina,1419,68355,44
Chile,1288,1547,40
Togo,1209,276,12
Mexico,1145,17499,174
Slovenia,1011,5548,61
South Africa,800,19518,46
Australia,678,12735,28
Denmark,672,21901,74
Tunisia,651,567,134
Canada,599,749,91
Latvia,542,2048,113
Kuwait,430,51,206
Spain,390,40706,81
Rwanda,335,1230,74
Portugal,272,4444,155
Serbia,223,91,64
Turkey,178,30264,115
El Salvador,177,30,38
France,168,624,22
Lithuania,95,255,42
Peru,84,945,49
Italy,82,26831,204
Germany,76,498,61
Ireland,70,137,191
Ecuador,62,198,14
Japan,53,270246,202
Romania,39,21,43
Bulgaria,38,1175,48
Singapore,32,24,20
Maldives,26,14,26
Cyprus,24,1440,176
Greece,16,511,158
United Arab Emirates,12,6,197
Honduras,1,12,67
